file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,165,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,0
style.css,166,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,17
style.css,167,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,12
style.css,168,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,36
style.css,169,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,15
style.css,170,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,14
style.css,171,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,15
style.css,172,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,0
style.css,173,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,0
style.css,174,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,17
style.css,175,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,17
style.css,176,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,49
style.css,177,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,24
style.css,178,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,10
style.css,179,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,0
style.css,180,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,0
style.css,181,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,0,17
style.css,182,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,14
style.css,183,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,8
style.css,184,css,62c924cb,Khanh Phan,2025-10-18,22:20:28,-07:00,2025-10-18T22:20:28-07:00,2,10
style.css,185,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,186,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,187,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,18
style.css,188,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,1,14
style.css,189,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,1,16
style.css,190,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,1,16
style.css,191,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,192,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,193,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,10
style.css,194,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,6
style.css,195,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,12
style.css,196,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,14
style.css,197,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,18
style.css,198,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,7
style.css,199,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,200,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,0
style.css,201,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,0,10
style.css,202,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,12
style.css,203,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,18
style.css,204,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,9
style.css,205,css,91d761e6,Khanh Phan,2025-10-28,20:49:56,-07:00,2025-10-28T20:49:56-07:00,2,19
